id,Name,description,Slug,color,FrenchName,FrenchDescription,area,ColonialEntity
001d87fa60dc576a07f5d5da3c8157ce,Toronto Purchase,https://native-land.ca/maps/treaties/toronto-purchase/,toronto-purchase,#122244,Toronto Purchase,https://www.aadnc-aandc.gc.ca/fra/1370372152585/1370372222012,551,Canada
0187b75ed44cf4f111b7d0e4f88ab9f9,Treaty 3 3/4 (1795)/ Brant Tract Treaty 8 (1797),https://native-land.ca/maps/treaties/treaty-3-3-4-1795/,treaty-3-3-4-1795,#2311FF,Treaty 3 3/4 (1795)/ Brant Tract Treaty 8 (1797),https://native-land.ca/maps/treaties/treaty-3-3-4-1795/,157,Canada
01f8d3352cf7b82b222cf77c843b484f,Cession 654,https://native-land.ca/maps/treaties/cession-654/,cession-654,#031133,Cession 654,https://native-land.ca/maps/treaties/cession-654/,1851,United States of America
02a1d41f89372787a7f4351134a7d46b,James Bay Treaty No.9 (Adhesions in 1929 and 1930),https://native-land.ca/maps/treaties/james-bay-treaty-no-9-adhesions-in-1929-and-1930/,james-bay-treaty-no-9-adhesions-in-1929-and-1930,#ffc91c,James Bay Treaty No.9 (Adhesions in 1929 and 1930),https://native-land.ca/maps/treaties/james-bay-treaty-no-9-adhesions-in-1929-and-1930/,359530,Canada
0335b31529b4ee18d9e779a8b7638d2d,Ta’an KwÃ¤ch’Ã¤n,https://native-land.ca/maps/treaties/taan-kwa%c2%a4cha%c2%a4n/,taan,#6411BB,Ta’an KwÃ¤ch’Ã¤n,"http://www.kwanlindun.com/, https://www.aadnc-aandc.gc.ca/fra/1294416351481/1294416449299",12856,Canada
04720724eb6be41c873670aaab9a61b3,Cession 642,https://native-land.ca/maps/treaties/cession-642/,cession-642,#AC0077,Cession 642,https://native-land.ca/maps/treaties/cession-642/,2631,United States of America
05ad681369074fbfd36a41e89258ac94,"The Simcoe Patent – Treaty 4, 1793",https://native-land.ca/maps/treaties/the-simcoe-patent-treaty-4-1793/,treaty-4-1793,#CC00FF,"The Simcoe Patent – Treaty 4, 1793",http://encyclopediecanadienne.ca/fr/article/haldimand-proclamation/#h3_jump_3,2734,Canada
07749b79ea21c6fdad8bb60f4de8dca0,"Manitoulin Island Treaty 94, 1862",https://native-land.ca/maps/treaties/manitoulin-island-treaty-94-1862/,treaty-94-1862,#DA2277,"Manitoulin Island Treaty 94, 1862",https://www.aadnc-aandc.gc.ca/fra/1370372152585/1370372222012#ucls22,4531,Canada
10cf3359023c9c0d4bb650bb6aa1077b,Treaty 11,https://native-land.ca/maps/treaties/treaty-11/,treaty11,#872255,Treaty 11,http://www.aadnc-aandc.gc.ca/fra/1370373165583/1370373202340,976511,Canada
https://native-land.ca/maps/treaties/cession-332/,Cession 332,https://native-land.ca/maps/treaties/cession-332/,cession-332,#190066,Cession 332,https://native-land.ca/maps/treaties/cession-332/,25253,United States of America
https://native-land.ca/maps/treaties/cession-482/,Cession 482,https://native-land.ca/maps/treaties/cession-482/,cession-482,#2D22CC,Cession 482,https://native-land.ca/maps/treaties/cession-482/,8761,United States of America
16b8a111f6b6efaaf4f58cc7782599ea,Treaty 3,https://native-land.ca/maps/treaties/treaty-3/,treaty3,#BF1144,Treaty 3,http://www.aadnc-aandc.gc.ca/fra/1370373165583/1370373202340,126212,Canada
1717d840b435dd90223efb37dcc8cef1,"Treaty 13, 1805",https://native-land.ca/maps/treaties/treaty-13-1805/,treaty-13-1805,#C72299,"Treaty 13, 1805",https://native-land.ca/maps/treaties/treaty-13-1805/,1362,Canada
1b088598937f75b93ada15e26bd653d1,Haldimand Treaty,https://native-land.ca/maps/treaties/haldimand-treaty/,haldimand,#5122CC,Haldimand Treaty,http://encyclopediecanadienne.ca/fr/article/haldimand-proclamation/,3872,Canada
1d6ee8d8b86293f74162773973368409,"Treaty 19, 1818",https://native-land.ca/maps/treaties/treaty-19-1818/,treaty-19-1818,#591155,"Treaty 19, 1818",https://native-land.ca/maps/treaties/treaty-19-1818/,2018,Canada
2159ff33ad41292475f74a8ec2f4ff35,"Robinson-Huron (Treaty 61, 1850)",https://native-land.ca/maps/treaties/robinson-huron-treaty-61-1850-2/,robinsonHuron,#AE00AA,"Robinson-Huron (Treaty 61, 1850)",http://www.aadnc-aandc.gc.ca/fra/1370373165583/1370373202340,62810,Canada
25a8a969ab0921b866a6b3de2419653c,Tlicho Agreement,https://native-land.ca/maps/treaties/tlicho-agreement-2/,tlicho,#512266,Tlicho Agreement,https://www.aadnc-aandc.gc.ca/fra/1292948193972/1292948598544,268650,Canada
https://native-land.ca/maps/treaties/cession-66/,Cession 66,https://native-land.ca/maps/treaties/cession-66/,cession-66,#152200,Cession 66,https://native-land.ca/maps/treaties/cession-66/,28299,United States of America
279bd8c188e139b1d611e21ba6a9bcab,Cession 378,https://native-land.ca/maps/treaties/cession-378/,cession-378,#8F11BB,Cession 378,https://native-land.ca/maps/treaties/cession-378/,21,Canada
2854a5b6cbc5b543e18d878f22fde727,Douglas Treaties,https://native-land.ca/maps/treaties/douglas-treaties/,douglas,#5000DD,Douglas Treaties,https://native-land.ca/maps/treaties/douglas-treaties/,1139,Canada
2af0d9200dfafcd6bfc63cf0ab951ed4,Treaty 8,https://native-land.ca/maps/treaties/treaty-8/,treaty8,#4400DD,Treaty 8,http://www.aadnc-aandc.gc.ca/fra/1370373165583/1370373202340,849976,Canada
2d9a6baf13fffeb600dbc56f1d5668c3,Cession 339,https://native-land.ca/maps/treaties/cession-339/,cession-339,#891199,Cession 339,https://native-land.ca/maps/treaties/cession-339/,230,Canada
2e3bcebe5a740cd8bdeda103bf1bb6f6,Treaty 7,https://native-land.ca/maps/treaties/treaty-7/,treaty7,#9E1133,Treaty 7,http://www.treaty7.org/AboutUs.aspx,107894,Canada
34ab68f8700c8ac5e42693f1b77d14a4,White River-Kluane,https://native-land.ca/maps/treaties/white-river-kluane/,whiteriver,#1122AA,White River-Kluane,https://whiteriverfirstnation.com/,33908,Canada
34ea04e20d7b9b97ab445bbe2ac500e9,Treaty 2,https://native-land.ca/maps/treaties/treaty-2/,treaty2,#C911EE,Treaty 2,http://www.aadnc-aandc.gc.ca/fra/1370373165583/1370373202340,87076,Canada
3add1a043c6b100d8c3486c524a0e1b0,Cession 112,https://native-land.ca/maps/treaties/cession-112/,cession-112,#752299,Cession 112,https://native-land.ca/maps/treaties/cession-112/,109,Canada
40a8791f5e8d26eec7a39ff241e8db2d,Tla’amin (Sliammon) Nation Final Agreement,https://native-land.ca/maps/treaties/tlaamin-sliammon-nation-final-agreement/,sliammon,#D61144,Tla’amin (Sliammon) Nation Final Agreement,https://www.aadnc-aandc.gc.ca/fra/1397152724601/1397152939293,86,Canada
4140e50ef7caff0e0d7de7663e1eb9eb,"Treaty 3 1/2, 1793",https://native-land.ca/maps/treaties/treaty-3-1-2-1793/,treaty-3-1-2-1793,#AC2244,"Treaty 3 1/2, 1793",https://native-land.ca/maps/treaties/treaty-3-1-2-1793/,283,Canada
436b7dd8655db136d5857b5ed6c36233,Point Elliott Treaty,https://native-land.ca/maps/treaties/point-elliott-treaty/,point-elliot-treaty,#FA2299,Point Elliott Treaty,https://native-land.ca/maps/treaties/point-elliott-treaty/,24103,United States of America
